Section,Region,District,Chiefdom,Location,Facility,Type,InCharge,Contact,Year,Month,AllOut,Suspected,Tested,Confirmed,Treated,Presumed,ThresholdAllOut,ThresholdSuspected,ThresholdTested,ThresholdConfirmed,ThresholdTreated,ThresholdPresumed,LowerBoundAllOut,UpperBoundAllOut,LowerBoundSuspected,UpperBoundSuspected,LowerBoundTested,UpperBoundTested,LowerBoundConfirmed,UpperBoundConfirmed,LowerBoundTreated,UpperBoundTreated
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,January,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,February,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,March,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,April,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,May,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,June,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,July,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,August,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,September,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,October,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,November,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Egyptian (Koidu) Clinic,,,,2025,December,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,January,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,February,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,March,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,April,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,May,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,June,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,July,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,August,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,September,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,October,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,November,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Gbongonleken Clinic,,,,2025,December,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,January,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,February,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,March,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,April,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,May,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,June,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,July,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,August,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,September,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,October,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,November,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Hussein Mackie Memorial Hospital,,,,2025,December,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,January,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,February,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,March,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,April,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,May,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,June,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,July,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,August,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,September,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,October,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,November,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,In God Be Truth Clinic,,,,2025,December,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,January,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,February,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,March,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,April,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,May,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,June,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,July,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,August,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,September,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,October,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,November,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Joanna Enterprise Clinic,,,,2025,December,0,0,0,0,0,0,9999,9999,9999,9999,9999,50,0,9999,0,9999,0,9999,0,9999,0,9999
Surveillance,,,,,Kamadu CHP,,,,2025,January,307,179,179,61,61,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,February,356,188,188,73,73,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,March,541,199,199,66,66,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,April,640,183,183,76,76,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,May,507,166,166,67,67,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,June,534,133,133,55,55,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,July,532,126,126,51,51,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,August,633,150,150,71,71,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,September,705,206,206,76,76,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,October,704,171,171,105,105,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,November,766,155,155,78,78,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kamadu CHP,,,,2025,December,936,170,170,101,101,0,964.5,237.5,237.5,96.0,96.0,50,272.5,964.5,105.5,237.5,105.5,237.5,48.0,96.0,48.0,96.0
Surveillance,,,,,Kensay CHP,,,,2025,January,135,50,50,42,42,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,February,359,67,67,44,44,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,March,114,171,171,58,58,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,April,95,63,63,54,54,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,May,340,65,65,55,55,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,June,194,72,72,61,61,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,July,198,252,252,117,117,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,August,74,120,120,74,74,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,September,609,67,67,47,47,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,October,615,134,134,83,83,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,November,638,68,68,42,42,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kensay CHP,,,,2025,December,406,88,88,55,55,0,1320.0,234.5,234.5,114.5,114.5,50,0,1320.0,0,234.5,0,234.5,6.5,114.5,6.5,114.5
Surveillance,,,,,Kimbadu CHC,,,,2025,January,138,51,51,38,38,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,February,82,66,66,54,54,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,March,0,62,62,39,39,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,April,165,73,73,44,44,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,May,162,73,73,60,60,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,June,133,46,46,29,29,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,July,199,86,86,65,65,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,August,169,70,70,47,47,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,September,119,70,70,33,33,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,October,146,145,145,83,83,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,November,94,79,79,44,44,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kimbadu CHC,,,,2025,December,57,61,61,39,39,0,271.5,104.5,104.5,91.5,91.5,50,0,271.5,36.5,104.5,36.5,104.5,7.5,91.5,7.5,91.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,January,137,80,80,70,70,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,February,155,70,70,56,56,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,March,0,114,114,90,80,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,April,98,112,112,76,77,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,May,128,102,102,72,72,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,June,149,74,74,45,45,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,July,108,73,73,47,47,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,August,85,60,60,49,49,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,September,119,42,42,28,28,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,October,114,86,86,66,66,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,November,322,56,56,51,51,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Kissi Bona CHP,,,,2025,December,278,61,61,46,46,0,225.5,163.5,163.5,109.5,109.5,50,37.5,225.5,0,163.5,0,163.5,9.5,109.5,9.5,109.5
Surveillance,,,,,Koakoyima CHC,,,,2025,January,334,390,390,294,294,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,February,310,357,357,273,273,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,March,456,373,373,306,306,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,April,333,379,379,320,320,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,May,472,362,362,306,306,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,June,255,315,315,223,223,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,July,315,386,386,300,300,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,August,488,472,472,382,382,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,September,474,460,460,359,359,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,October,505,479,479,355,355,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,November,381,374,374,272,272,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koakoyima CHC,,,,2025,December,285,279,279,178,178,0,712.5,607.0,607.0,478.0,478.0,50,76.5,712.5,215.0,607.0,215.0,607.0,150.0,478.0,150.0,478.0
Surveillance,,,,,Koeyor CHP,,,,2025,January,416,154,154,89,89,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,February,375,133,133,87,87,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,March,410,72,118,63,63,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,April,403,99,100,76,76,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,May,398,117,117,65,65,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,June,393,107,107,65,65,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,July,393,96,96,70,70,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,August,255,213,213,163,163,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,September,421,90,90,67,67,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,October,444,127,135,84,84,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,November,423,99,99,71,71,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koeyor CHP,,,,2025,December,454,99,99,67,67,0,468.0,184.0,189.0,117.0,117.0,50,348.0,468.0,48.0,184.0,45.0,189.0,37.0,117.0,37.0,117.0
Surveillance,,,,,Koidu Government Hospital,,,,2025,January,5468,3974,3974,1199,1036,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,February,5835,2862,2862,920,920,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,March,5702,4360,4360,1218,1218,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,April,6342,4235,4235,1163,1022,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,May,7437,4615,4615,1391,0,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,June,7146,4735,4340,1312,0,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,July,6957,4166,4163,1299,1299,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,August,6789,3962,3962,1378,1378,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,September,7379,3496,3496,1273,1273,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,October,8510,4191,4191,1350,1325,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
Surveillance,,,,,Koidu Government Hospital,,,,2025,November,7491,3996,3996,1223,1223,0,9079.5,4957.0,4907.0,1548.0,1693.5,50,4699.5,9079.5,3365.0,4957.0,3395.0,4907.0,1020.0,1548.0,641.5,1693.5
